,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
139,2013-05-10 02:43:39,1368168219.0,ecl,86.78,96.78004535147392,1157.439941,-28.291040558588037,125.07108591006195,100.03,32.06,2.16,4.17,6.84,13.10,5.71,13.59,40.55,31120000000.0,31120000000.0,20.91,1.63,2.62,13.64,2.62,5360000000.0,13.64,813500000.0,2.71,221.10,2.20,824300000.0,2.79,6230000000.0,1.72,20.82,1280000000.0,0.58,9.61,77.60,3040000.0,2.90,1.20,3090000.0,outperform
140,2011-08-15 00:22:48,1313382168.0,el,100.85,122.23446452181574,1178.810059,-1.4768254626375075,123.71128998445324,48.54,29.74,2.25,7.72,7.96,13.69,12.26,29.62,43.51,19950000000.0,19950000000.0,23.08,2.24,2.32,13.71,2.32,5970000000.0,13.71,683600000.0,3.39,116.90,16.40,1100000000.0,5.59,1230000000.0,1.88,12.73,19950000000.0,1.46,1.88,57.10,2680000.0,2.70,2.30,2840000.0,outperform
141,2011-11-12 22:43:12,1321155792.0,el,115.06,153.54781842221243,1229.099976,2.7263302809295564,150.82148814128288,48.74,29.30,2.43,9.07,8.57,14.30,13.96,34.25,46.76,22650000000.0,22650000000.0,22.34,1.71,2.46,14.07,2.46,6870000000.0,14.07,788300000.0,3.93,45.80,18.40,719500000.0,3.74,1210000000.0,1.81,12.79,22650000000.0,1.44,1.88,57.10,4250000.0,3.40,3.60,4520000.0,outperform
142,2013-05-15 18:18:47,1368656327.0,el,71.75,58.10929925077125,2098.47998,75.38780548588869,-17.27850623511744,42.07,28.96,2.78,8.72,9.74,14.99,13.72,32.33,25.84,27470000000.0,27470000000.0,24.32,1.92,2.74,15.00,2.74,7720000000.0,15.00,977000000.0,2.48,37.10,1.90,1440000000.0,3.71,1350000000.0,2.24,8.24,1190000000.0,1.28,2.54,93.80,6210000.0,3.40,3.00,5480000.0,underperform
143,2011-11-16 00:14:53,1321420493.0,eqr,58.75,97.01542588866532,2164.449951,146.43910385141618,-49.42367796275086,143.47,17.77,7.96,3.09,45.53,27.72,2.34,1.06,7.37,26230000000.0,26230000000.0,21.13,2.66,12.18,20.53,12.18,1180000000.0,20.53,1300000.0,3.31,274.70,12.80,56570000.0,0.19,8940000000.0,0.61,18.66,26230000000.0,1.45,3.39,94.60,14620000.0,5.60,5.20,15290000.0,underperform
144,2013-07-01 01:13:08,1372655588.0,eqr,58.06,94.70154258886654,1215.680054,38.41442854309788,56.28711404576867,112.70,10.66,9.49,2.09,77.34,30.12,2.07,1.98,7.10,33259999999.999996,33259999999.999996,18.55,3.44,15.01,23.94,15.01,1380000000.0,23.94,82590000.0,5.45,600.40,20.80,56140000.0,0.16,12200000000.0,0.22,27.98,1010000000.0,0.72,1.95,99.10,7320000.0,2.40,2.30,9340000.0,outperform
145,2004-06-20 22:05:38,1087783538.0,etn,61.75,0.0,1132.050049,0.0,0.0,0.645,21.29,1.10,3.02,5.35,7.88,5.71,15.68,54.438,9300000000.0,10680000000.0,12.60,1.55,1.28,10.12,1.28,2160000000.0,10.12,448000000.0,2.90,37.40,11.80,579000000.0,3.84,1960000000.0,1.383,20.205999,905000000.0,0.595,9.30,74.69,2550000.0,2.241,1.86,2100000.0,underperform
146,2005-04-12 11:30:14,1113319814.0,etn,63.23,2.3967611336032335,1369.099976,20.939880459295846,-18.54311932569261,0.492,15.30,0.98,2.69,6.60,8.88,7.55,19.88,62.529,9670000000.0,11140000000.0,10.47,1.11,1.14,8.76,1.14,2740000000.0,8.76,649000000.0,4.13,67.90,21.80,296000000.0,1.94,1770000000.0,1.407,23.523001,838000000.0,0.816,5.95,77.79,1520000.0,1.74,1.06,1560000.0,underperform
147,2011-11-15 09:22:41,1321366961.0,etn,46.1,-25.34412955465587,2075.0,83.29578288812918,-108.63991244278505,48.74,12.48,0.98,1.99,8.09,10.17,5.76,16.99,46.22,18370000000.0,18370000000.0,10.29,1.05,1.17,8.54,1.17,4080000000.0,8.54,1270000000.0,3.69,36.20,15.50,814000000.0,2.44,3780000000.0,1.52,23.11,18370000000.0,1.52,0.46,85.00,4340000.0,0.90,1.30,4430000.0,underperform
148,2012-04-03 21:34:07,1333503247.0,etn,49.39,-20.016194331983804,1069.719971,-5.5059472021629645,-14.51024712982084,50.39,12.57,1.04,2.24,8.41,10.18,5.81,18.15,47.44,19460000000.0,19460000000.0,9.61,0.93,1.21,8.89,1.21,4790000000.0,8.89,1350000000.0,3.93,29.30,10.10,1080000000.0,3.24,3780000000.0,1.60,22.34,1250000000.0,1.76,0.44,79.60,4730000.0,1.40,1.50,4630000.0,underperform
149,2012-07-15 20:05:22,1342397122.0,etn,38.09,-38.315789473684205,2077.070068,83.4786430012336,-121.79443247491781,47.22,9.49,0.77,1.57,8.48,10.37,5.95,17.45,48.07,15760000000.0,15760000000.0,7.56,0.84,0.97,7.04,0.97,4790000000.0,7.04,1370000000.0,4.01,8.40,4.10,811000000.0,2.41,3760000000.0,1.65,23.58,1450000000.0,1.76,0.45,79.50,23240000.0,3.90,7.30,18890000.0,underperform
150,2013-05-12 10:24:52,1368368692.0,etn,64.93,5.149797570850214,1626.670044,43.692414079830144,-38.54261650897993,66.59,19.51,1.73,2.01,7.27,9.14,3.81,11.13,46.24,39810000000.0,39810000000.0,12.53,1.38,2.25,17.18,2.25,4860000000.0,17.18,1280000000.0,3.33,21.50,34.10,1040000000.0,2.20,10130000000.0,1.67,32.14,1860000000.0,1.74,0.31,65.40,5790000.0,1.50,1.20,7130000.0,underperform
151,2011-10-01 08:47:58,1317473278.0,expe,25.75,27.982107355864805,1151.060059,-10.073432890625007,38.05554024648981,54.59,16.56,2.04,2.58,12.09,21.14,6.56,15.59,13.19,6420000000.0,6420000000.0,11.60,1.15,1.76,7.40,1.76,2660000000.0,7.40,440270000.0,1.56,22.90,22.70,2290000000.0,8.35,1650000000.0,0.99,10.51,6420000000.0,1.91,19.85,73.90,21340000.0,4.10,12.70,20930000.0,outperform
152,2011-11-19 18:16:49,1321744609.0,expe,27.46,36.48111332007952,1236.910034,-3.3664035937500003,39.84751691382952,54.16,16.30,1.90,2.51,12.47,20.76,6.65,16.35,13.85,6970000000.0,6970000000.0,12.60,1.20,1.84,7.78,1.84,2660000000.0,7.78,473260000.0,1.69,18.70,15.50,2009999999.9999998,7.51,1650000000.0,0.99,10.77,6970000000.0,1.63,19.85,73.90,18020000.0,3.50,10.70,16320000.0,outperform
153,2013-02-06 13:07:55,1360174075.0,expe,67.5,235.4870775347912,1262.859985,-1.339063671874996,236.8261412066662,50.53,27.25,2.37,3.86,8.95,13.72,4.34,12.93,28.71,8000000000.0,8000000000.0,18.39,1.45,2.08,11.33,2.08,2690000000.0,11.33,355480000.0,2.48,18.20,17.50,2360000000.0,17.48,1250000000.0,0.94,17.47,1270000000.0,0.81,22.13,95.30,9740000.0,5.30,11.10,9920000.0,outperform
154,2005-01-30 12:33:11,1107106391.0,fcx,35.96,-3.8502673796791385,1174.550049,63.2226359329395,-67.07290331261864,1.677,46.64,3.49,6.38,10.28,29.07,5.02,15.50,12.265,6420000000.0,7820000000.0,16.35,0.73,3.30,8.73,3.30,903590000.0,8.73,156780000.0,0.771,10.30,15.80,551950000.0,3.09,1950000000.0,2.084,5.807,40830000.0,0.973,14.30,95.00,11290000.0,6.007,7.38,10040000.0,underperform
155,2005-03-01 04:06:30,1109667990.0,fcx,41.82,11.818181818181824,1248.579956,73.51028316321123,-61.6921013450294,1.677,54.24,3.09,6.32,10.28,29.07,5.03,15.50,12.265,7470000000.0,8740000000.0,19.01,0.85,3.68,9.75,3.68,903590000.0,9.75,156780000.0,0.77,10.30,15.80,551950000.0,3.09,1950000000.0,2.084,6.508,40830000.0,0.924,14.30,94.21,11910000.0,5.674,7.78,11290000.0,underperform
