,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1144.050049,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-13.042291950886762,1559.97998,36.35592091128875,-49.39821286217551,underperform
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.95225102319236,1588.849976,38.87941155972977,-73.83166258292212,underperform
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.518417462482944,1184.630005,3.547043770984537,-44.06546123346748,underperform
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,-5.457025920873124,942.8699949999999,-17.584899731952202,12.127873811079077,outperform
5,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.23328785811732,1295.430054,13.231939033814069,-26.465226891931387,underperform
6,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.538881309686224,1444.609985,26.27157231999735,-31.810453629683575,underperform
7,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.832196452933148,1339.130005,17.051697709424253,-27.8838941623574,underperform
8,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.969986357435191,1379.930054,20.617979537362004,-34.58796589479719,underperform
9,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.905866302864936,870.73999,-23.88969426983521,-29.016172033029726,underperform
10,2005-01-31 23:37:39,1107232659.0,aiz,0.271,32.53,0.0,1171.359985,0.0,0.0,underperform
11,2005-02-16 10:35:03,1108568103.0,aiz,0.271,33.78,3.84260682446972,2081.429932,77.69344681857132,-73.85083999410159,underperform
12,2005-12-25 21:45:53,1135565153.0,aiz,0.263,43.21,32.83123270826928,1268.119995,8.260484499989126,24.570748208280158,outperform
13,2006-02-02 01:16:50,1138861010.0,aiz,0.263,45.4,39.56347986474023,1285.189941,9.7177603347958,29.845719529944432,outperform
14,2006-11-08 14:58:09,1163015889.0,aiz,0.257,54.74,68.275438057178,1335.48999,14.011918377082003,54.26351968009599,outperform
15,2007-04-13 11:17:08,1176477428.0,aiz,0.252,55.85,71.6876729173071,1448.390015,23.650289710041605,48.03738320726549,outperform
16,2007-11-04 02:11:09,1194160269.0,aiz,0.253,64.58,98.52443897940361,1508.439941,28.77680305939425,69.74763592000936,outperform
17,2004-12-16 22:56:23,1103255783.0,avb,1.1,73.25,0.0,2061.719971,0.0,0.0,underperform
18,2005-03-02 04:14:41,1109754881.0,avb,1.1,69.76,-4.764505119453918,1073.430054,-47.93521578590752,43.17071066645361,outperform
19,2007-01-13 03:58:35,1168678715.0,avb,1.002,136.57,86.44368600682593,1614.959961,-21.669286628838694,108.11297263566462,outperform
20,2007-02-18 19:32:33,1171845153.0,avb,1.074,145.04,98.00682593856655,1456.810059,-29.340061720729192,127.34688765929575,outperform
21,2004-05-29 17:15:50,1085865350.0,bms,0.49,27.55,0.0,1114.939941,0.0,0.0,underperform
22,2005-05-27 22:21:16,1117246876.0,bms,0.648,27.36,-0.6896551724137977,1194.069946,7.097243724987333,-7.786898897401131,underperform
23,2007-01-13 13:36:41,1168713401.0,bms,0.523,36.15,31.215970961887468,1614.959961,44.84726052163198,-13.631289559744513,underperform
24,2007-02-14 04:33:35,1171445615.0,bms,0.536,34.41,24.900181488203252,1974.619995,77.10550338962157,-52.20532190141832,underperform
25,2003-10-26 16:15:47,1067202947.0,cpb,9.116,26.13,0.0,1033.77002,0.0,0.0,underperform
26,2003-12-14 16:31:50,1071437510.0,cpb,9.116,25.63,-1.9135093761959436,1868.199951,80.71717256803406,-82.63068194423,underperform
27,2005-09-03 23:10:39,1125803439.0,cpb,2.184,30.02,14.887102946804443,933.409973,-9.708159944510667,24.59526289131511,outperform
28,2006-08-31 01:43:09,1157002989.0,cpb,1.656,37.36,42.97742058936089,1301.780029,25.925496369105396,17.051924220255493,outperform
29,2006-10-23 12:51:07,1161622267.0,cpb,1.817,36.72,40.52812858783008,1368.599976,32.389211287052035,8.138917300778047,outperform
30,2007-01-13 12:16:39,1168708599.0,cpb,2.258,37.78,44.584768465365485,1614.959961,56.22042908537821,-11.635660620012722,underperform
31,2007-05-26 19:57:44,1180223864.0,cpb,1.618,39.23,50.13394565633371,1522.280029,47.25519211710164,2.878753539232065,outperform
32,2008-01-02 00:47:31,1199252851.0,cpb,1.87,35.73,36.7393800229621,884.659973,-14.423909004441809,51.16328902740391,outperform
33,2008-12-25 23:19:24,1230265164.0,cpb,2.573,28.89,10.562571756601614,871.6300050000001,-15.684340991045556,26.24691274764717,outperform
34,2004-12-10 07:21:02,1102681262.0,el,0.317,45.38,0.0,1196.47998,0.0,0.0,underperform
35,2006-06-19 03:00:38,1150700438.0,el,0.361,38.35,-15.491405905685326,1251.540039,4.601837048706817,-20.093242954392142,underperform
